% ---------------------------------------
% Time: 17:35:35
% Data columns: 
% time, [idSensor], positionX, positionY, positionZ, velocityX, velocityY, velocityZ, accelerationX, accelerationY, accelerationZ, 
% ---------------------------------------

1093455407.042		0.506328	-2.5422	-126.276		0.0115654	-0.00641596	0.00508943		-0.427074	-0.0795686	-9.77331		
1093455407.149		0.537181	-2.56871	-126.325		-0.00123256	-0.00291132	0.000567025		-0.421376	-0.0790028	-9.77091		
1093455407.243		0.559865	-2.58797	-126.341		0.00358028	-0.0043971	-0.00500456		-0.448674	-0.0932269	-9.75874		
1093455407.341		0.574292	-2.60256	-126.494		-0.010342	-0.00170534	-0.0019472		-0.437371	-0.104431	-9.78778		
1093455407.447		0.564908	-2.60222	-126.531		-0.00045908	-0.00082209	0.00227002		-0.448725	-0.0880638	-9.7801		
1093455407.541		0.554462	-2.59308	-126.528		0.00232283	0.0110237	0.00908367		-0.450992	-0.0994053	-9.77347		
1093455407.642		0.54705	-2.59203	-126.619		-0.00653729	0.0107425	0.00272775		-0.437319	-0.106197	-9.76696		
1093455407.741		0.531777	-2.57473	-126.626		-0.00936475	0.00516784	-3.17432e-05		-0.454421	-0.122042	-9.77368		
1093455407.843		0.538498	-2.56837	-126.681		0.00850697	0.000268177	0.00307819		-0.440164	-0.11413	-9.76482		
1093455407.942		0.538143	-2.57756	-126.827		0.000651892	-0.00230245	-0.00498971		-0.437316	-0.103936	-9.76639		
1093455408.042		0.517307	-2.57789	-126.822		-0.000886926	0.0110447	-7.4395e-05		-0.439621	-0.1073	-9.7766		
1093455408.142		0.505326	-2.56922	-126.836		-0.000870007	0.00144767	0.0131533		-0.437272	-0.0632241	-9.75828		
1093455408.242		0.487617	-2.55072	-126.868		-0.0043397	0.00381139	0.0274657		-0.456655	-0.0937883	-9.76345		
1093455408.341		0.462341	-2.53216	-126.845		-0.0137135	0.0147412	-0.00107629		-0.42596	-0.185991	-9.7581		
1093455408.445		0.472166	-2.54032	-126.959		-0.000955316	0.00168903	-0.00668833		-0.436754	-0.0767468	-9.77523		
1093455408.542		0.4378	-2.56584	-127.086		-0.00193638	-0.00830346	0.00526424		-0.46287	-0.0559173	-9.75439		
